PL,method_function,Approach,COG,CYC,pair_id
C#,UseSqlDatabaseStatus,ORIG,2,2,C#_01
C#,UseSqlDatabaseStatus,DEV,2,2,C#_01
C#,UseSqlDatabaseStatus,FLAG,0,1,C#_01
C#,GetServiceManager,ORIG,2,2,C#_02
C#,GetServiceManager,DEV,2,2,C#_02
C#,GetServiceManager,FLAG,0,1,C#_02
C#,MigrateAllProjectsAsync,ORIG,25,13,C#_03
C#,MigrateAllProjectsAsync,DEV,25,13,C#_03
C#,MigrateAllProjectsAsync,FLAG,23,11,C#_03
C#,GetTargetLanguageAsync,ORIG,1,2,C#_04
C#,GetTargetLanguageAsync,DEV,1,2,C#_04
C#,GetTargetLanguageAsync,FLAG,0,1,C#_04
C#,TryAddToLocalStorage,ORIG,2,4,C#_05
C#,TryAddToLocalStorage,DEV,2,4,C#_05
C#,TryAddToLocalStorage,FLAG,1,3,C#_05
C#,FindItem,ORIG,9,9,C#_06
C#,FindItem,DEV,9,9,C#_06
C#,FindItem,FLAG,3,4,C#_06
C#,CreateAuthenticationEventAsync,ORIG,3,3,C#_07
C#,CreateAuthenticationEventAsync,DEV,3,3,C#_07
C#,CreateAuthenticationEventAsync,FLAG,1,2,C#_07
C#,Handle,ORIG,3,3,C#_08
C#,Handle,DEV,3,3,C#_08
C#,Handle,FLAG,1,2,C#_08
C#,ResolveAsync,ORIG,1,2,C#_09
C#,ResolveAsync,DEV,1,2,C#_09
C#,ResolveAsync,FLAG,0,1,C#_09
C#,BatchCollectedMetrics,ORIG,2,3,C#_10
C#,BatchCollectedMetrics,DEV,2,3,C#_10
C#,BatchCollectedMetrics,FLAG,1,2,C#_10
C#,GetMetaDataCollector,ORIG,1,3,C#_11
C#,GetMetaDataCollector,DEV,1,3,C#_11
C#,GetMetaDataCollector,FLAG,0,1,C#_11
C#,GetMetricsCollector,ORIG,1,3,C#_12
C#,GetMetricsCollector,DEV,1,3,C#_12
C#,GetMetricsCollector,FLAG,0,1,C#_12
C#,CheckHealthAsync,ORIG,7,8,C#_13
C#,CheckHealthAsync,DEV,7,8,C#_13
C#,CheckHealthAsync,FLAG,6,7,C#_13
C#,CreateAsync,ORIG,1,6,C#_14
C#,CreateAsync,DEV,1,6,C#_14
C#,CreateAsync,FLAG,0,5,C#_14
C#,CreateAsync,ORIG,1,6,C#_15
C#,CreateAsync,DEV,1,6,C#_15
C#,CreateAsync,FLAG,0,5,C#_15
C#,CreateMenuBuilder,ORIG,1,2,C#_16
C#,CreateMenuBuilder,DEV,1,2,C#_16
C#,CreateMenuBuilder,FLAG,0,1,C#_16
C#,CreateAsync,ORIG,2,4,C#_17
C#,CreateAsync,DEV,2,4,C#_17
C#,CreateAsync,FLAG,1,3,C#_17
C#,GetAuth,ORIG,1,2,C#_18
C#,GetAuth,DEV,1,2,C#_18
C#,GetAuth,FLAG,0,1,C#_18
C#,InvokeAsync,ORIG,3,4,C#_19
C#,InvokeAsync,DEV,3,4,C#_19
C#,InvokeAsync,FLAG,2,3,C#_19
C#,UseUtilitiesModule,ORIG,1,2,C#_20
C#,UseUtilitiesModule,DEV,1,2,C#_20
C#,UseUtilitiesModule,FLAG,0,1,C#_20
C#,SummarizeConversationAsync,ORIG,9,13,C#_21
C#,SummarizeConversationAsync,DEV,9,13,C#_21
C#,SummarizeConversationAsync,FLAG,8,12,C#_21
C#,RaiseSignalsFromCategoriesAsync,ORIG,7,10,C#_22
C#,RaiseSignalsFromCategoriesAsync,DEV,7,10,C#_22
C#,RaiseSignalsFromCategoriesAsync,FLAG,6,9,C#_22
C#,RaiseSignalsFromCategoriesAsync,ORIG,3,4,C#_23
C#,RaiseSignalsFromCategoriesAsync,DEV,3,4,C#_23
C#,RaiseSignalsFromCategoriesAsync,FLAG,2,3,C#_23
C#,HandleMessageAsync,ORIG,23,20,C#_24
C#,HandleMessageAsync,DEV,23,20,C#_24
C#,HandleMessageAsync,FLAG,22,19,C#_24
C#,CreateFromLiveMessageAsync,ORIG,2,5,C#_25
C#,CreateFromLiveMessageAsync,DEV,2,5,C#_25
C#,CreateFromLiveMessageAsync,FLAG,2,4,C#_25
C#,IdentifyConversationAsync,ORIG,3,8,C#_26
C#,IdentifyConversationAsync,DEV,3,8,C#_26
C#,IdentifyConversationAsync,FLAG,3,7,C#_26
C#,GetCompletionResultAsync,ORIG,8,10,C#_27
C#,GetCompletionResultAsync,DEV,8,10,C#_27
C#,GetCompletionResultAsync,FLAG,7,9,C#_27
C#,SummarizeConversationAsync,ORIG,5,8,C#_28
C#,SummarizeConversationAsync,DEV,5,8,C#_28
C#,SummarizeConversationAsync,FLAG,4,7,C#_28
C#,DispatchAsync,ORIG,6,6,C#_29
C#,DispatchAsync,DEV,6,6,C#_29
C#,DispatchAsync,FLAG,5,5,C#_29
C#,GetAllTypesAsync,ORIG,5,5,C#_30
C#,GetAllTypesAsync,DEV,5,5,C#_30
C#,GetAllTypesAsync,FLAG,3,4,C#_30
